Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,SKU,PLU
1600000000100320601,00cd9e8b-d789-412b-ae94-ec5d9c842924,sour skittles,1600000000100320602,,3.00,10/6/2025,No,No,04026606,
1600000000669477522,01f496d6-024e-4cac-aae0-2bb3d6d02d0f,Cookie,1600000000669477523,,4.00,12/18/2025,No,No,,
1600000000047764553,037c7261-9c08-494d-af1c-ca094e701632,$ham,1600000000047758440,,2.00,9/17/2025,No,Yes,,
1600000000065039304,047391ac-9385-4d7e-91c7-c9306da45a3f,coke,1600000000065039305,,3.00,9/25/2025,No,No,0496340,
1600000000885927923,052b43e4-c7d3-4cff-93a8-7c25b4f3994a,Celsius Tropical,1600000000886109566,,4.00,1/7/2026,No,No,889392021394,
1600000000047668557,05f26c6e-c0c3-4ea7-94a6-85361dfdc529,Pasta Salad,1600000000047635075,,0.00,9/17/2025,No,Yes,,
1600000000065049158,06368324-baac-4a9f-a0bc-e17026bd8a30,Sprite 7.5 oz,1600000000065049159,,1.75,9/25/2025,No,No,049000061062,
1600000000100984827,07729065-53e4-4020-a456-34c5998373f8,tropical skittles,1600000000100984828,,3.00,10/6/2025,No,No,040000001638,
1600000000049295135,078e9d92-87e1-44e4-8ccc-7d4dc1c3e5f4,Cuban Panini,1600000000049392622,,15.00,9/18/2025,No,No,,
1600000000100982635,07bac8ab-7099-4a18-b16b-024555074d25,crumb donuts,1600000000100982636,,3.00,10/6/2025,No,No,035751118285,
1600000000047664733,08eef2b5-6597-4559-8b8f-5d6188335d3f,Caesar dressing,1600000000047648844,,0.00,9/17/2025,No,Yes,,
1600000000047066647,0b229f1b-ccbe-46bd-b710-0b55504ea8e8,French toast casserole,1600000000047204225,,13.00,9/17/2025,No,No,,
1600000000100984841,0b798fc9-f865-49aa-b97e-c85d7d9c2225,m&m's,1600000000100984842,,3.00,10/6/2025,No,No,040000000310,
1600000000047526514,0b7a8c17-7d3a-41b0-b05d-1b95cf902245,Chicken salad BLT,1600000000047495283,,14.00,9/17/2025,No,No,675548975372,
1600000000047211593,0cdbba83-1d45-4bae-9444-3d34d6f38e34,Dirty Chai,1600000000047187381,,6.00,9/17/2025,No,No,,
1600000000065042039,0d2fb205-b726-45e7-9556-23083ccfb2c3,Arizona mango,1600000000065042040,,3.00,9/25/2025,No,No,613008751333,
1600000000100289016,0d4f0669-c96d-4a50-ba77-4094682da2d2,lime jarrito,1600000000100289017,,3.95,10/6/2025,No,No,090478410050,
1600000000100358726,0d70ce5d-6b3d-407f-8509-89f44adccead,100 grand,1600000000100358727,,3.00,10/6/2025,No,No,099900694235,
1600000000047526508,0d8bad7e-56aa-46f7-b1e1-f0328b8aef2b,Cuban Panini,1600000000047495277,,15.00,9/17/2025,No,No,676582390893,
1600000000047702861,0db2cacc-89a8-4754-a1e3-6c10e02dd9ea,$double chicken,1600000000047717951,,5.00,9/17/2025,No,Yes,,
1600000000100982641,0df4e72a-cb9d-4ba1-b921-576a80f2aae3,chili roasted,1600000000100982642,,2.50,10/6/2025,No,No,014113910934,
1600000000047211591,0ecd6ed5-5b72-43da-823d-c12506e78151,Banana cold foam,1600000000047187379,,6.00,9/17/2025,No,No,,
1600000000047746184,1038cd32-77fc-4a57-969e-a243fc862700,No mustard,1600000000047773763,,0.00,9/17/2025,No,Yes,,
1600000000049295140,10965e0d-af4e-4ef0-8970-f9affbc12948,Classic Club,1600000000049392627,,15.00,9/18/2025,No,No,,
1600000000047717966,109d884d-4f71-4929-85f6-c21743ee36d5,$walnuts,1600000000047740710,,1.50,9/17/2025,No,Yes,,
1600000000047746181,10e7c9b2-1e66-443e-a3c6-cd3607ca5093,No tomato,1600000000047773760,,0.00,9/17/2025,No,Yes,,
1600000000047492383,120f728d-7fc5-4dab-8fa4-f0e5be0806a7,Jamaican Me Crazy,1600000000047536579,,6.95,9/17/2025,No,No,,
1600000000100984821,12c168a7-c242-44d4-9913-592b3bcc2f37,skittles wild berry,1600000000100984822,,3.00,10/6/2025,No,No,040000001621,
1600000000047154136,13692763-c1c3-40d9-89d5-67017dba0bd9,Twisted lemonade,1600000000047211959,,5.00,9/17/2025,No,No,,
1600000000100387185,169fdd3f-6857-4faf-a657-71fe65804472,Doritos,1600000000100387186,,1.00,10/6/2025,No,No,028400090896,
1600000000047287670,1719cd2d-addd-41e2-bca8-f5ad91264ef4,Frozen Mocha Java,1600000000047267612,,6.95,9/17/2025,No,No,,
1600000000047717968,1847e475-d7ef-4cc9-a15b-5ad11c3608c7,$cotija cheese,1600000000047740712,,0.25,9/17/2025,No,Yes,,
1600000000389549112,18d381b6-e225-4e6e-98ee-b62ac94ffc98,Funyuns Flamin Hot,1600000000389134018,,1.50,11/19/2025,No,No,028400089326,
1600000000047200940,1a8caf21-ebaf-4b56-961d-f45b4a536498,Trail Mix,1600000000047517983,,4.00,9/17/2025,No,No,,
1600000000388792108,1b8d4058-2f68-40ee-b498-095cdae34f59,Egg Salad Special,1600000000388426760,,7.00,11/19/2025,No,No,1111111113,
1600000000100982631,1c5be7b9-0105-4f01-ac1d-11a60dc1380c,Nilla wafferers,1600000000100982632,,10.00,10/6/2025,No,No,044000027346,
1600000000100327576,1d95a8e7-8c7c-49e8-b83e-0110975475fc,starburst favereds,1600000000100327577,,3.00,10/6/2025,No,No,040000009702,
1600000000047664734,1e204bd2-5638-4ed3-980d-0ff17174a24b,Strawberry poppy seed,1600000000047648845,,0.00,9/17/2025,No,Yes,,
1600000000047211590,1f3f3ec2-eadb-413f-95d3-da46d003b725,Carmel Macchiatto,1600000000047187378,,6.00,9/17/2025,No,No,,
1600000000047154134,1f672ae8-bfd0-458a-9a0c-cf1e5d1d443e,Iced tea,1600000000047211957,,4.00,9/17/2025,No,No,,
1600000000047764552,208864d0-5cc3-4644-ab06-e42f37136d15,$peppers,1600000000047758439,,0.25,9/17/2025,No,Yes,,
1600000000047670870,2187dd5d-771a-4e26-94f9-6d24fb53442a,crunchy tortilla strips,1600000000047728366,,0.00,9/17/2025,No,Yes,,
1600000000047717967,21add963-f6b9-410b-82b9-25a00e9ecf33,$roasted corn,1600000000047740711,,0.25,9/17/2025,No,Yes,,
1600000000047670868,238c1377-a43a-47d7-96ad-ba504dbcb006,avocado,1600000000047728364,,0.00,9/17/2025,No,Yes,,
1600000000047653014,2421c829-1d26-49c3-ab28-f1aa67d21826,fresh fruit,1600000000047655280,,0.00,9/17/2025,No,No,,
1600000000100547201,2487dd51-8d5f-40b3-a7b5-9fe8d2adc2ab,waterloo tropical ,1600000000100547202,,0.00,10/6/2025,No,No,819215022048,
1600000000047130465,254bf901-f901-4cea-beb2-45fafc01fdc7,Bagel box,1600000000047099745,,10.00,9/17/2025,No,No,,
1600000000100345463,255d21ec-1433-4a21-a301-56c081a444fa,m&m's,1600000000100345464,,3.00,10/6/2025,No,No,040000000310,
1600000000047668558,2619b15b-6fd0-4819-90b5-82a6224fbd87,Fresh fruit,1600000000047635076,,0.00,9/17/2025,No,Yes,,
1600000000100314116,2776757b-a5f9-4e3c-bea5-c878046e1ff2,hi chew green apple,1600000000100314117,,2.50,10/6/2025,No,No,873983000035,
1600000000047746188,2835f4d2-5b8a-47b9-bc62-3340bb115fb9,No avocado,1600000000047773767,,0.00,9/17/2025,No,Yes,,
1600000000100984809,28a32163-e280-4c93-a58f-567cbbc940f8,aussie bites,1600000000100984810,,1.00,10/6/2025,No,No,731216104649,
1600000000047091276,28f41a5a-a322-4ae4-aa32-5657c1c89cfd,Chai,1600000000047147446,,5.00,9/17/2025,No,No,,
1600000000100254640,294adfbf-14df-4b64-8361-b48938e5cab6,pistachio salted,1600000000100254641,,2.50,10/6/2025,No,No,014113910712,
1600000000047670875,2b061ffa-6d58-4e9b-a91f-e1044087c15c,croutons,1600000000047728371,,0.00,9/17/2025,No,Yes,,
1600000000100984853,2bb1c872-f1a0-47e4-9730-bc20c8b34679,100 grand,1600000000100984854,,3.00,10/6/2025,No,No,099900694235,
1600000000100982625,2cb64c90-c280-4ef4-8b4f-c8cc06ddc28b,Lays,1600000000100982626,,1.00,10/6/2025,No,No,028400090858,
1600000000387841909,2d3c7781-9fe5-4bc6-ab28-2da46755f439,Brownie Special,1600000000387458391,,4.00,11/19/2025,No,No,1111111114,
